Filename,Grammatical Error Percentage,Readability Score,Average Sentence Length,Repetitive Words Count,Repetitive Words List (limited),Repetitive Words List (full),AI Content Percentage,Generic Content Percentage
AIML-59.pdf,71.93,47.59,19.95077720207254,657,"active: 64, learning: 75, less: 6, more: 7, comparison: 3, strategies: 48, medical: 37, image: 44, segmentation: 44, student.hpi.de: 6...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-59.pdf_repetitive_words_full_list.txt,2.4,0.09
AIML-6.pdf,80.07,33.54,21.58235294117647,374,"advances: 2, computational: 10, sciences: 3, technology: 6, issn: 2, 0973-6107: 2, volume: 2, research: 2, india: 2, publications: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-6.pdf_repetitive_words_full_list.txt,2.84,0.32
AIML-60.pdf,67.39,61.67,20.039525691699605,396,"cient: 14, active: 56, learning: 82, beygelzimer: 10, research: 4, rutgers: 2, university: 4, karampatziakis: 4, langford: 11, zhang: 4...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-60.pdf_repetitive_words_full_list.txt,2.06,0.09
AIML-61.pdf,9.13,8.06,20.14645308924485,701,"volume: 12, issue: 12, neyigapula: 4, 2023: 15, federated: 93, learning: 154, collaborative: 101, network: 88, security: 126, decentralized: 83...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-61.pdf_repetitive_words_full_list.txt,2.33,0.25
AIML-62.pdf,87.15,52.9,20.551980198019802,633,"learning: 90, collaborate: 11, decentralized: 15, personalized: 19, models: 48, tianyi: 6, xinmei: 2, dacheng: 4, explore: 2, computer-vision: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-62.pdf_repetitive_words_full_list.txt,2.08,0.13
AIML-63.pdf,20.07,34.97,23.197628458498023,490,"federated: 123, learning: 122, models: 72, decentralized: 17, critical: 19, infrastructure: 21, panagiotis: 2, vasileios: 2, greece: 2, university: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-63.pdf_repetitive_words_full_list.txt,2.37,0.19
AIML-64.pdf,52.56,37.4,14.622828784119108,1448,"survey: 38, decentralized: 76, federated: 91, learning: 141, edoardo: 18, giovanni: 17, gabriele: 20, sapienza: 2, university: 2, rome: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-64.pdf_repetitive_words_full_list.txt,35.55,0.26
AIML-65.pdf,93.09,53.21,19.72248803827751,599,"shen: 18, front: 22, inform: 22, technol: 22, electron: 21, frontiers: 2, information: 6, technology: 6, electronic: 2, engineering: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-65.pdf_repetitive_words_full_list.txt,2.0,0.24
AIML-66.pdf,41.4,53.21,11.906116642958748,1187,"journal: 26, cloud: 84, computing: 118, 2022: 44, 11:94: 22, https: 114, review: 4, author: 2, open: 5, access: 20...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-66.pdf_repetitive_words_full_list.txt,35.23,0.28
AIML-67.pdf,23.52,57.77,21.513409961685824,446,"decentralized: 35, federated: 56, graph: 79, neural: 46, networks: 24, yang: 6, qiang: 2, increasing: 2, user-side: 2, pri-: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-67.pdf_repetitive_words_full_list.txt,2.17,0.1
AIML-68.pdf,31.38,47.28,12.830409356725147,711,"federated: 67, multi-task: 7, learning: 94, under: 17, mixture: 21, distributions: 21, othmane: 2, giovanni: 4, aurélien: 5, richard: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-68.pdf_repetitive_words_full_list.txt,35.38,0.08
AIML-69.pdf,92.76,32.02,21.78787878787879,614,"fed-xai: 24, federated: 58, learning: 63, explainable: 15, artificial: 13, intelligence: 16, corcuera: 3, bárcena: 5, daole: 2, ducange: 8...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-69.pdf_repetitive_words_full_list.txt,2.56,0.09
AIML-7.pdf,15.16,31.82,19.653508771929825,482,"technology: 4, volume: 2, research: 10, datasets: 41, creation: 8, depression: 67, risk: 33, prediction: 16, educational: 16, environment: 13...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-7.pdf_repetitive_words_full_list.txt,3.06,0.21
AIML-70.pdf,7.12,25.8,19.474509803921567,513,"federated: 94, learning: 143, pioneering: 3, distributed: 17, machine: 43, privacy-preserving: 7, data: 175, technology: 9, philip: 2, treleaven: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-70.pdf_repetitive_words_full_list.txt,2.89,0.05
